"E1","E2","E3","E4","E5","E6","E7","E8","fault_type"
12.651,0.96193,1.87,2.6874,1.4057,0.38173,0.19253,0.14499,"Normal"
12.1,0.60717,0.85561,1.3626,0.64082,0.20878,0.11602,0.09956,"Normal"
12.159,0.63103,1.1472,1.5622,0.81257,0.22369,0.14403,0.10604,"Normal"
12.848,0.63854,1.3776,2.3115,1.2394,0.24916,0.16475,0.10168,"Normal"
11.442,0.78928,1.2647,2.0532,0.91464,0.2034,0.12337,0.089087,"Normal"
12.058,0.91631,2.4725,3.6395,1.7099,0.31419,0.18577,0.089779,"Normal"
11.097,0.71139,1.7218,2.0606,1.0021,0.21663,0.13832,0.11762,"Normal"
12.064,0.62417,0.96901,1.2491,0.56549,0.20053,0.14056,0.099279,"Normal"
11.414,0.76866,1.993,3.3299,1.844,0.34276,0.25123,0.10545,"Normal"
12.298,0.57116,0.75824,1.1773,0.56437,0.15984,0.1074,0.074852,"Normal"
12.242,0.75686,1.7732,2.2412,1.0094,0.26182,0.15897,0.11561,"Normal"
10.908,0.63261,1.3444,2.3272,1.1017,0.25507,0.14787,0.093744,"Normal"
12.407,0.57025,0.70667,1.3649,0.67404,0.13638,0.090355,0.072846,"Normal"
11.641,0.84776,2.0689,2.4496,1.4408,0.34027,0.20848,0.15445,"Normal"
11.044,0.50796,0.9855,2.0359,0.84246,0.17152,0.10813,0.089348,"Normal"
11.998,0.71419,1.6756,1.9583,0.91694,0.22363,0.12012,0.082909,"Normal"
12.048,0.85759,2.7071,3.6226,1.4604,0.39936,0.16089,0.10047,"Normal"
11.324,0.58749,1.0958,1.922,0.96369,0.19482,0.11451,0.11362,"Normal"
12.8,0.6462,1.0289,1.4346,0.71153,0.20208,0.11631,0.093205,"Normal"
11.609,0.64244,1.2561,2.1309,1.1907,0.27151,0.1934,0.14849,"Normal"
13.146,0.7725,0.81487,1.658,0.87082,0.22821,0.14784,0.088203,"Normal"
11.859,0.57761,0.98659,1.8076,0.84008,0.22107,0.12279,0.10419,"Normal"
11.968,0.82647,1.2093,2.4545,1.08,0.26097,0.14414,0.10286,"Normal"
13.345,0.9022,2.5705,4.0808,1.5432,0.36381,0.14406,0.097349,"Normal"
12.239,0.59023,1.3752,2.1016,1.0301,0.21174,0.11494,0.098288,"Normal"
12.067,0.67319,1.2135,1.6406,0.78107,0.20767,0.15194,0.087858,"Normal"
11.182,0.8943,1.9808,3.0388,1.2142,0.38733,0.24772,0.14007,"Normal"
11.487,0.53329,0.833,1.4698,0.6851,0.19717,0.10574,0.07577,"Normal"
12.57,0.90128,1.5209,2.1093,0.92183,0.24999,0.1483,0.098924,"Normal"
11.606,0.5778,0.96421,2.3251,1.1292,0.2364,0.11858,0.10132,"Normal"
11.592,0.64775,1.0025,1.4289,0.71397,0.19538,0.10811,0.08283,"Normal"
12.47,0.92918,1.4692,2.5966,1.0763,0.29816,0.22018,0.1325,"Normal"
10.928,0.56791,1.0137,1.3775,0.81315,0.17243,0.11615,0.10723,"Normal"
12.386,0.74215,1.4346,1.8705,0.91017,0.26209,0.13474,0.10334,"Normal"
12.212,1.0012,2.0698,3.3298,1.6701,0.32132,0.17725,0.092225,"Normal"
12.163,0.69814,1.3342,2.1476,0.89584,0.2322,0.17995,0.095486,"Normal"
11.653,0.81261,0.96523,1.5926,0.94533,0.2497,0.20156,0.068162,"Normal"
11.312,0.7012,1.3816,2.0964,1.06,0.32509,0.20107,0.12827,"Normal"
11.639,0.53557,0.99874,1.3762,0.67874,0.15399,0.10019,0.082458,"Normal"
12.333,1.0275,1.9593,3.1687,1.3843,0.3311,0.21405,0.14485,"Normal"
11.694,0.80734,2.1383,3.2832,1.3192,0.26582,0.17811,0.12561,"Normal"
13.003,0.65207,0.91508,1.3732,0.85856,0.22823,0.13611,0.10729,"Normal"
13.848,0.87655,1.6595,2.444,1.2368,0.29441,0.20447,0.15012,"Normal"
12.007,0.66299,0.95584,1.7454,0.86615,0.16609,0.12763,0.079046,"Normal"
11.901,0.58539,0.88951,1.5197,0.60801,0.16782,0.11902,0.079648,"Normal"
11.161,0.93351,1.772,2.6025,1.1804,0.24215,0.17239,0.12202,"Normal"
11.513,0.57771,0.91065,1.4944,0.69191,0.149,0.095047,0.074266,"Normal"
12.109,0.57466,0.98772,1.1715,0.62507,0.196,0.11316,0.080955,"Normal"
10.882,0.65968,1.3387,1.5211,0.82485,0.28238,0.14096,0.087839,"Normal"
10.513,0.67115,1.353,2.3088,1.005,0.21529,0.17323,0.12596,"Normal"
11.678,0.71969,1.6401,2.4774,1.071,0.23643,0.13213,0.12292,"Normal"
11.409,0.6076,1.3311,2.3199,1.0085,0.17879,0.13614,0.092988,"Normal"
12.591,0.77725,0.88339,1.3753,0.66468,0.24891,0.1546,0.083694,"Normal"
12.127,0.8331,1.5056,2.5742,1.5003,0.30607,0.1978,0.14253,"Normal"
11.692,0.67933,0.88694,1.5258,0.64133,0.13768,0.099877,0.077984,"Normal"
11.503,0.79893,1.2894,1.9841,1.0085,0.22822,0.13988,0.074153,"Normal"
11.936,0.64444,1.4939,2.3049,1.0337,0.24079,0.16276,0.14077,"Normal"
11.62,0.59039,0.89049,1.1576,0.57469,0.20117,0.10135,0.068471,"Normal"
12.61,0.81674,1.2885,2.2024,0.86486,0.27857,0.16951,0.12579,"Normal"
10.82,0.52695,0.7914,1.4715,0.7676,0.15519,0.11677,0.085725,"Normal"
11.961,0.54886,1.24,2.0812,1.2012,0.23621,0.19103,0.11991,"Normal"
11.915,0.56549,1.0735,1.9188,0.81707,0.20295,0.096957,0.058963,"Normal"
12.747,0.97239,2.4904,3.5084,1.4324,0.36102,0.17307,0.12072,"Normal"
12.072,0.48162,0.55481,1.2228,0.59273,0.14157,0.097627,0.065461,"Normal"
12.312,0.65938,0.77482,1.3919,0.66395,0.19536,0.10884,0.08546,"Normal"
10.603,0.81285,1.4525,2.4236,1.3095,0.35531,0.20004,0.19398,"Normal"
11.713,0.58198,0.84162,1.6382,0.78575,0.22383,0.11442,0.072687,"Normal"
12.204,0.78051,1.7885,2.8448,1.3442,0.29341,0.16978,0.09206,"Normal"
11.473,0.6742,1.4604,2.1509,0.97678,0.20254,0.18658,0.12417,"Normal"
11.365,0.74488,0.98465,1.6477,0.78746,0.19133,0.11385,0.11836,"Normal"
13.17,0.94209,1.7081,2.5436,1.3805,0.37171,0.24221,0.17149,"Normal"
10.585,0.42904,0.74508,1.0876,0.5021,0.13914,0.11663,0.061774,"Normal"
12.149,0.6023,0.99162,1.8467,0.75361,0.2077,0.099356,0.10326,"Normal"
11.646,0.71679,1.595,2.8676,1.4703,0.30577,0.18512,0.17342,"Normal"
11.792,0.5202,0.6374,1.4004,0.74159,0.14453,0.087599,0.094785,"Normal"
11.447,0.80849,1.1321,1.7823,0.76414,0.24843,0.13554,0.089271,"Normal"
12.042,0.6432,0.80516,1.7959,0.8779,0.20204,0.16136,0.11694,"Normal"
11.59,0.74041,1.4749,2.144,0.90526,0.2532,0.1392,0.10926,"Normal"
11.845,0.81384,2.418,4.2783,2.0162,0.4106,0.28985,0.10911,"Normal"
11.173,0.6739,1.2289,1.659,0.81198,0.18793,0.13801,0.089151,"Normal"
13.173,0.63124,0.80565,1.2062,0.52782,0.15857,0.11803,0.10215,"Normal"
11.794,0.7054,1.8149,2.4354,1.1385,0.27908,0.16612,0.10884,"Normal"
12.039,0.65139,0.91701,1.556,1.045,0.16168,0.1289,0.090237,"Normal"
13.501,0.9973,2.3565,3.22,1.2692,0.25697,0.20023,0.15177,"Normal"
12.206,0.57603,1.6616,2.5265,1.2559,0.20004,0.16539,0.15186,"Normal"
11.192,0.67368,1.1097,1.483,0.80852,0.23848,0.18537,0.14577,"Normal"
12.557,0.93903,1.8219,2.1978,1.2499,0.28305,0.17623,0.15192,"Normal"
11.262,0.60566,0.73213,1.5525,0.80357,0.16737,0.11337,0.067261,"Normal"
12.574,0.54564,0.81276,1.6843,0.72478,0.16931,0.10255,0.072782,"Normal"
11.051,0.94054,2.3498,2.6119,1.2402,0.42966,0.23061,0.12685,"Normal"
11.783,0.61266,0.8874,1.1996,0.51328,0.19535,0.10177,0.084462,"Normal"
11.685,0.88037,1.6684,2.6874,1.1488,0.26973,0.2193,0.12819,"Normal"
11.283,0.54867,0.90842,1.2706,0.66509,0.19234,0.10915,0.080166,"Normal"
11.602,0.58528,1.2337,2.4291,1.0325,0.19359,0.14107,0.1024,"Normal"
12.214,1.0767,2.0425,3.1828,1.4794,0.31288,0.16494,0.11768,"Normal"
11.218,0.61369,1.2861,2.047,1.0409,0.2586,0.13681,0.081517,"Normal"
12.065,0.68548,0.82115,1.3927,0.77721,0.17309,0.14538,0.09684,"Normal"
11.533,0.71435,1.7134,3.114,1.4201,0.31967,0.28812,0.14894,"Normal"
11.732,0.57078,0.7108,1.2069,0.61673,0.16717,0.10513,0.087871,"Normal"
12.425,0.84074,1.7709,2.6352,1.3679,0.2527,0.14262,0.082521,"Normal"
12.097,0.85154,3.7384,4.628,1.648,0.39848,0.17108,0.091251,"Normal"
12.786,0.73458,1.3235,1.8059,0.82992,0.20857,0.15921,0.090932,"Normal"
13.854,0.77041,1.1733,1.8261,0.88149,0.34525,0.17625,0.1151,"Normal"
11.743,0.67125,1.1215,1.661,0.81646,0.18832,0.12294,0.10036,"Normal"
10.847,0.69364,1.1268,1.9589,0.92365,0.19619,0.1387,0.11701,"Normal"
11.14,0.97344,2.1275,3.1106,1.37,0.39193,0.1951,0.17895,"Normal"
12.319,0.71228,1.3016,1.5421,0.8314,0.21347,0.12626,0.11306,"Normal"
11.604,0.66197,0.9722,1.3511,0.80999,0.23046,0.16681,0.15946,"Normal"
11.095,0.89893,1.8713,3.296,1.3538,0.26896,0.21838,0.11302,"Normal"
11.53,0.72909,1.1798,1.5156,0.74125,0.25008,0.17132,0.11945,"Normal"
11.55,0.84512,1.701,2.0431,1.0658,0.26268,0.17473,0.13329,"Normal"
12.496,1.1028,1.8794,2.1939,1.0678,0.33021,0.15651,0.12786,"Normal"
11.112,0.80712,1.4348,1.7525,0.89633,0.25015,0.19222,0.12257,"Normal"
13.341,1.0015,1.8748,2.8787,1.5745,0.38607,0.19041,0.14637,"Normal"
11.231,0.69767,0.99776,1.0667,0.66333,0.21448,0.15963,0.12498,"Normal"
12.521,0.77272,1.0486,1.7753,0.79766,0.26253,0.14872,0.12633,"Normal"
11.665,1.0652,2.8626,3.1903,1.5137,0.35369,0.22746,0.14559,"Normal"
12.206,0.69645,0.99468,1.6851,0.87093,0.22562,0.12129,0.10759,"Normal"
12.48,0.94935,1.3451,1.7055,0.89994,0.30935,0.19141,0.14469,"Normal"
10.322,0.74458,1.8097,1.7163,0.95336,0.29546,0.20027,0.11959,"Normal"
13.214,0.72049,1.3954,1.8896,0.88731,0.25112,0.13947,0.1003,"Normal"
10.955,0.80542,1.8495,2.3269,0.9261,0.28913,0.16547,0.10583,"Normal"
12.982,0.61343,0.74995,1.3685,0.71061,0.17783,0.109,0.081692,"Normal"
12.771,0.87072,1.2634,2.3515,1.0082,0.22959,0.16696,0.095579,"Normal"
10.659,0.44344,0.70898,1.1932,0.61799,0.17048,0.13358,0.090825,"Normal"
11.597,0.73569,0.93856,2.0297,0.84377,0.20061,0.16045,0.15446,"Normal"
12.042,0.80355,1.8588,3.2333,1.3422,0.25168,0.16006,0.13767,"Normal"
10.291,0.65464,1.1087,1.8521,1.0421,0.23507,0.11828,0.11558,"Normal"
12.954,0.84367,1.1611,1.4925,0.75808,0.21602,0.15175,0.098307,"Normal"
10.788,0.77148,1.644,2.0941,1.0116,0.29764,0.15866,0.10338,"Normal"
11.473,0.59359,0.94764,1.5081,0.74053,0.14215,0.10726,0.086532,"Normal"
11.995,1.0936,2.191,2.9109,1.3372,0.34683,0.19773,0.13897,"Normal"
11.313,0.52962,0.76045,1.3803,0.68182,0.20182,0.1432,0.098661,"Normal"
11.118,0.71919,0.90395,1.2699,0.53093,0.19036,0.11853,0.093785,"Normal"
12.596,0.80687,1.6177,3.5403,1.5136,0.28778,0.15326,0.10502,"Normal"
11.112,0.58431,0.79342,1.429,0.69391,0.18772,0.13648,0.122,"Normal"
11.819,0.66523,1.3729,2.1699,0.96444,0.24631,0.12991,0.093101,"Normal"
11.616,0.8815,2.7542,4.1629,1.6697,0.35873,0.17792,0.13972,"Normal"
12.249,0.71555,1.0817,1.8028,0.93041,0.22101,0.14487,0.1089,"Normal"
12.685,0.77361,2.0811,2.6145,1.1773,0.3445,0.20574,0.12364,"Normal"
12.168,0.46694,1.1128,1.2487,0.51375,0.17723,0.10046,0.062696,"Normal"
12.288,0.76441,1.8134,2.6189,1.0396,0.27796,0.19463,0.089117,"Normal"
11.716,0.61528,0.72883,1.1049,0.57699,0.18113,0.14026,0.077118,"Normal"
12.59,0.61347,1.242,2.1704,0.8258,0.20391,0.13227,0.082216,"Normal"
12.319,0.79558,1.9699,3.4305,1.3757,0.29341,0.21846,0.1163,"Normal"
11.378,0.67143,1.5885,2.3586,0.92022,0.30869,0.16363,0.12251,"Normal"
11.949,0.63397,0.90272,1.4912,0.77314,0.16224,0.093775,0.080769,"Normal"
11.315,0.55458,1.5064,2.5281,1.2023,0.26661,0.16871,0.14816,"Normal"
12.111,0.54835,0.85413,1.7076,0.68091,0.16352,0.095999,0.083676,"Normal"
11.934,0.75245,2.2174,3.1164,1.3949,0.39395,0.20099,0.12444,"Normal"
10.857,0.51061,0.73693,1.6926,0.86309,0.1854,0.11044,0.10203,"Normal"
11.87,0.56409,0.81136,1.174,0.52925,0.16098,0.11839,0.080545,"Normal"
11.17,0.78436,1.6901,2.6375,1.0424,0.29157,0.14757,0.087046,"Normal"
11.507,0.54347,0.8725,1.8089,0.82921,0.17137,0.09329,0.11327,"Normal"
11.736,0.70143,1.3808,2.3164,1.0204,0.22711,0.11471,0.089361,"Normal"
10.639,0.62061,1.8243,2.6165,1.2443,0.24597,0.14623,0.13766,"Normal"
11.613,0.6724,1.2378,2.0054,0.84646,0.27324,0.14569,0.11776,"Normal"
12.12,0.81441,1.5734,1.7852,1.1369,0.24354,0.15864,0.068563,"Normal"
11.051,0.53997,1.1136,1.6118,0.67455,0.16298,0.16193,0.085199,"Normal"
12.139,0.6731,0.97673,1.5503,0.63602,0.16899,0.11206,0.095842,"Normal"
12.101,0.72045,1.3536,1.4746,0.68281,0.21591,0.13394,0.099566,"Normal"
12.119,0.90178,2.0643,2.5533,1.0919,0.28321,0.18151,0.13948,"Normal"
12.588,0.63795,2.2444,3.4154,1.2896,0.25277,0.16979,0.082512,"Normal"
13.182,0.63305,0.97587,1.517,0.69288,0.21605,0.1586,0.11708,"Normal"
11.649,0.83976,1.5175,2.6783,1.5126,0.33175,0.22507,0.15897,"Normal"
11.351,0.57043,0.80434,1.8377,0.80178,0.17238,0.12555,0.077394,"Normal"
12.188,0.80474,1.2315,1.8048,0.82898,0.2353,0.15552,0.10161,"Normal"
11.562,0.83867,1.6186,2.6969,1.0982,0.26528,0.17564,0.11737,"Normal"
12.055,0.551,0.85505,1.1923,0.65142,0.16509,0.11454,0.089173,"Normal"
11.885,0.86407,1.3382,2.2773,1.1009,0.32365,0.24357,0.13817,"Normal"
10.85,0.47091,0.9409,1.445,0.73289,0.20556,0.1511,0.095292,"Normal"
10.62,0.60175,1.321,1.8447,0.82698,0.24387,0.13062,0.078413,"Normal"
13.295,0.88624,2.8367,4.3631,1.5676,0.37732,0.19273,0.12798,"Normal"
10.878,0.56869,0.97315,1.3329,0.76803,0.22467,0.11759,0.093424,"Normal"
12.135,0.70312,1.0182,1.3194,0.68701,0.20868,0.12552,0.10395,"Normal"
11.067,0.70777,1.8128,2.6888,1.5807,0.33811,0.17104,0.10358,"Normal"
12.461,0.57835,0.91442,1.3504,0.58556,0.15474,0.10458,0.089111,"Normal"
12.538,0.81015,1.2691,2.3715,1.1255,0.28039,0.21072,0.13029,"Normal"
10.773,0.56788,0.6097,1.2244,0.77426,0.15299,0.11471,0.089604,"Normal"
12.591,0.64111,0.84433,1.3885,0.55823,0.17382,0.11802,0.070689,"Normal"
12.46,0.71589,1.6627,2.1488,0.96986,0.22425,0.12759,0.09582,"Normal"
12.463,0.70503,0.91661,1.322,0.67381,0.24785,0.152,0.10142,"Normal"
12.698,0.68715,1.9095,2.2031,1.1011,0.30049,0.16824,0.098397,"Normal"
11.979,0.5446,0.91278,1.2447,0.61636,0.16629,0.10484,0.10577,"Normal"
12.611,0.86807,1.7651,2.2436,1.2037,0.27447,0.13522,0.095116,"Normal"
