"En1","En2","En3","En4","En5","En6","En7","En8","fault_type"
50.625,5.4043,12.693,10.159,1.2974,1.335,7.3199,2.5983,"Normal"
49.72,3.3321,8.042,5.2114,0.73004,1.0919,3.9076,1.5997,"Normal"
48.933,3.9603,7.1044,6.5217,0.9489,1.0656,4.6537,2.0185,"Normal"
52.274,4.1733,10.961,7.4511,0.80507,1.2807,6.4288,1.6208,"Normal"
47.039,5.0869,11.184,6.9942,0.73944,1.0176,4.9121,1.6307,"Normal"
48.9,5.3506,15.643,11.665,0.84527,1.3292,8.5692,2.4635,"Normal"
46.403,4.6792,11.581,7.8816,1.0026,1.0157,5.1077,1.5631,"Normal"
48.894,3.882,7.3539,5.7281,0.8856,1.0622,3.6485,1.2849,"Normal"
46.759,4.767,13.531,11.336,0.96253,1.557,8.9308,2.5751,"Normal"
50.222,3.5286,6.179,5.1327,0.65621,0.91363,4.0045,1.2096,"Normal"
49.727,4.7744,10.429,8.5415,0.86446,1.1242,6.7141,1.9039,"Normal"
45.685,4.6674,11.886,6.9972,0.75319,1.1319,5.1141,2.2714,"Normal"
49.914,3.9215,7.8076,4.4007,0.62348,0.82383,3.8996,1.1102,"Normal"
47.955,4.732,11.51,8.3923,1.1336,1.6272,7.8301,2.7182,"Normal"
46.831,3.3878,8.7863,6.5882,0.78488,0.83895,5.7682,1.403,"Normal"
48.827,4.219,11.09,8.2931,0.70773,0.95108,4.7009,1.6403,"Normal"
49.52,5.3561,15.851,12.349,0.91268,1.1496,8.7556,2.5156,"Normal"
46.833,3.7406,8.8169,7.1273,0.80773,1.0427,6.3517,1.1834,"Normal"
50.929,4.4693,7.8874,5.9463,0.67749,0.9607,4.4019,1.5782,"Normal"
47.921,3.8909,9.6617,7.29,1.1841,1.3661,7.1229,1.9622,"Normal"
51.722,4.217,9.4102,4.8645,0.78861,1.1374,3.983,1.7699,"Normal"
49.481,3.8369,8.6453,5.5283,0.84219,1.0026,5.0082,1.9626,"Normal"
49.02,5.2225,10.857,7.2409,0.82069,1.1039,6.14,2.2207,"Normal"
52.958,5.9516,16.235,12.01,0.73393,1.2137,7.9599,2.9296,"Normal"
50.351,3.4644,10.347,7.3245,0.81241,1.0523,5.6357,1.5319,"Normal"
49.132,3.8917,8.2104,7.7011,0.77651,1.1912,5.1091,1.2655,"Normal"
46.164,5.1709,11.833,11.838,1.0733,1.8603,6.9253,2.8608,"Normal"
47.857,3.0431,7.8105,5.4145,0.69657,0.78747,4.5399,1.381,"Normal"
49.944,5.5935,10.347,8.7457,0.79621,1.1267,5.355,1.9753,"Normal"
48.292,3.617,10.724,5.8327,0.82735,0.98791,5.7643,1.5445,"Normal"
47.042,3.9376,8.0336,5.9618,0.70342,0.8884,4.5981,1.5684,"Normal"
50.479,4.6732,12.176,6.8314,1.0436,1.5845,6.1351,2.0654,"Normal"
45.953,3.6387,6.5762,6.9641,0.79504,0.97598,4.889,1.4106,"Normal"
50.517,4.8762,9.4639,7.7576,0.8462,1.1715,5.8596,1.9516,"Normal"
48.458,6.1533,12.301,11.237,0.69791,1.3337,9.954,2.7876,"Normal"
49.506,4.4316,11.471,6.5418,0.89127,1.2722,5.3814,1.6634,"Normal"
46.851,4.836,8.1849,6.2769,0.59694,1.4663,5.2918,1.7927,"Normal"
47.088,4.3018,9.246,7.396,1.0534,1.5082,6.8818,2.4118,"Normal"
48.031,3.5577,7.577,5.7089,0.69884,0.8058,4.4397,1.2821,"Normal"
49.471,6.4351,14.166,11.452,1.0788,1.7206,6.4036,2.2328,"Normal"
48.166,5.0435,11.656,12.012,1.0676,1.2911,7.7011,2.0688,"Normal"
52.056,4.3284,7.8199,6.2537,0.8436,1.2355,4.242,1.6785,"Normal"
54.335,5.2847,11.559,8.8136,1.256,1.4731,7.1121,2.0923,"Normal"
49.37,4.1512,8.3352,5.6126,0.5942,1.1602,5.6867,1.2399,"Normal"
48.129,4.0396,8.6768,4.8369,0.6972,0.98373,3.8604,1.3408,"Normal"
46.131,4.8769,10.523,10.199,0.97629,1.3254,7.6254,1.6634,"Normal"
47.69,3.8893,7.2996,6.3367,0.71302,0.771,4.0275,1.342,"Normal"
48.72,4.2484,6.4695,5.8551,0.7328,0.90702,4.2,1.2783,"Normal"
46.325,3.8194,6.8763,7.0046,0.76917,1.1001,5.4546,1.9587,"Normal"
44.445,4.0279,11.394,7.4952,1.0221,1.4256,5.5576,1.5978,"Normal"
47.312,4.1803,10.415,8.6788,0.97046,1.0275,6.8048,1.9822,"Normal"
47.604,3.7108,12.306,7.9939,0.7776,1.0093,3.7945,1.2978,"Normal"
50.767,4.2623,8.2616,4.9889,0.63018,1.2083,4.0139,1.6896,"Normal"
48.956,5.3424,10.395,8.6651,1.3036,1.4463,9.3336,1.9471,"Normal"
47.781,4.6545,7.7386,5.2488,0.62225,0.85549,4.4249,1.1621,"Normal"
46.942,4.6931,10.656,5.7622,0.6332,1.0138,6.1438,1.9352,"Normal"
49.603,3.8623,12.395,6.9482,1.29,1.1391,6.0206,1.9127,"Normal"
47.393,3.7558,6.0825,5.7076,0.58823,0.88165,3.8176,1.6746,"Normal"
50.244,5.4658,10.372,7.0539,0.96861,1.3488,4.8733,1.6553,"Normal"
45.997,3.4618,7.3831,5.1015,0.72663,0.99133,4.6786,1.3,"Normal"
49.851,3.0367,9.1945,7.4403,0.87412,1.4939,6.256,1.5234,"Normal"
48.764,3.5306,10.185,6.122,0.46897,0.85121,4.8703,1.3848,"Normal"
51.197,5.3878,15.923,11.475,0.87329,1.3632,7.1138,2.5049,"Normal"
49.367,3.2567,6.9495,3.4312,0.60878,0.79504,4.1159,1.1847,"Normal"
49.391,4.3265,7.0652,5.3917,0.77334,0.81835,4.2828,1.4439,"Normal"
44.904,4.8023,9.767,8.9425,1.3533,1.3899,7.399,2.2514,"Normal"
48.352,3.6245,8.4269,5.1502,0.59436,0.91884,4.721,1.8736,"Normal"
49.495,4.6271,13.374,9.7267,0.80341,1.3147,6.8015,2.1972,"Normal"
48,4.0522,10.47,7.304,0.93811,1.5313,5.6877,1.3376,"Normal"
47.044,4.7699,8.7757,5.9187,1.0295,0.89565,4.9212,1.2485,"Normal"
51.474,6.1415,11.648,10.175,1.2621,1.7018,7.0926,2.0833,"Normal"
45.464,3.0236,6.6527,4.1667,0.54071,0.96614,3.1356,1.001,"Normal"
49.49,3.5744,9.7477,6.0392,0.84478,0.86788,4.7927,1.3895,"Normal"
47.698,4.4744,13.091,8.8063,1.2948,1.5582,7.1325,1.964,"Normal"
48.703,3.4449,7.603,4.53,0.74322,0.76046,4.3151,1.1294,"Normal"
46.602,5.012,9.2629,6.8309,0.78706,1.0208,3.5978,1.6268,"Normal"
49.707,4.4355,9.2694,4.4486,1.0051,1.1511,5.4172,1.4628,"Normal"
47.846,4.4425,10.572,7.6591,0.8954,1.1279,5.4714,1.9463,"Normal"
47.79,5.3369,15.106,11.884,0.88151,1.9932,12.606,2.5966,"Normal"
47.034,4.4153,8.373,7.2105,0.81261,1.0141,4.8491,1.2337,"Normal"
52.027,4.407,6.944,4.9136,0.91751,0.95895,3.7013,1.1552,"Normal"
49.056,4.2384,11.348,9.3059,0.9202,1.2184,7.3374,1.9757,"Normal"
49.277,4.02,8.548,4.8019,0.75194,1.004,5.9416,1.4045,"Normal"
52.333,5.2955,13.903,12.977,1.0495,1.6137,7.4713,1.744,"Normal"
50.427,3.7594,12.864,7.1648,1.3549,1.1157,5.8777,1.4359,"Normal"
46.454,4.1323,7.424,6.2772,0.98616,1.5683,5.7699,1.5788,"Normal"
49.886,6.2632,10.643,10.291,1.1934,1.3688,6.1435,2.0309,"Normal"
46.601,4.6055,8.5409,4.2921,0.60605,0.8838,4.644,1.2633,"Normal"
50.122,4.1716,8.6758,5.0119,0.63268,0.85183,4.6732,1.1922,"Normal"
45.88,6.064,11.31,11.139,0.96124,1.4749,7.3369,2.4768,"Normal"
48.372,3.8223,6.924,5.3061,0.73035,0.94706,3.3301,1.4359,"Normal"
47.647,5.5163,12.024,8.5294,0.9668,1.5344,5.8466,2.1918,"Normal"
47.191,3.6058,7.1253,5.8071,0.68812,0.93124,4.0238,1.2439,"Normal"
47.929,3.9046,10.515,7.7015,0.91422,0.97404,6.7926,1.4476,"Normal"
48.691,6.22,13.489,12.01,0.92823,1.3108,7.4969,2.3923,"Normal"
46.639,3.4698,10.427,7.2137,0.73418,1.0558,6.0705,1.9238,"Normal"
48.213,4.6668,8.6743,4.4011,0.78944,1.1862,4.2811,1.3225,"Normal"
47.769,4.5499,11.532,9.9304,1.188,2.0157,9.4903,2.4619,"Normal"
48.243,3.9844,6.9247,4.2488,0.68282,1.0093,4.0959,1.2386,"Normal"
49.575,5.5407,12.436,9.0759,0.70025,1.0235,7.4622,2.1817,"Normal"
50.148,4.5826,17.118,15.88,0.77102,1.392,9.7213,3.0835,"Normal"
51.329,4.5218,10.653,7.0202,0.80112,1.3101,4.4859,1.3661,"Normal"
53.908,4.4013,7.7389,7.1149,1.0299,1.3351,6.4479,1.9582,"Normal"
49.036,3.8391,8.7218,7.0468,0.76899,1.0267,4.3672,1.1762,"Normal"
45.524,4.1562,10.784,6.794,0.94086,1.0873,4.2944,1.561,"Normal"
45.76,6.1105,15.526,10.536,1.359,1.469,6.9788,2.2631,"Normal"
50.657,4.1508,8.3812,7.1755,0.93297,0.95973,5.2848,1.6813,"Normal"
46.9,4.4832,7.5465,5.6713,1.115,1.4276,5.178,1.8244,"Normal"
45.818,5.0995,15.048,9.2813,0.91693,1.519,7.9642,1.9089,"Normal"
47.509,4.9516,8.4004,6.8183,0.93886,1.3887,4.105,1.7389,"Normal"
46.913,5.2937,11.36,8.6266,1.0933,1.2959,5.8678,1.7399,"Normal"
50.639,6.9946,10.284,9.3063,1.1429,1.2127,5.9134,2.4819,"Normal"
46.08,4.6138,9.7787,7.8971,1.0398,1.3524,5.2126,1.8575,"Normal"
52.12,5.7629,11.901,10.421,1.1348,1.4694,8.7653,2.0536,"Normal"
46.606,4.6149,6.1786,6.0591,0.82953,1.1309,4.3963,1.5056,"Normal"
50.499,4.3236,9.2131,6.9571,0.97839,1.135,4.7343,1.7669,"Normal"
47.098,6.5601,14.59,12.713,1.2511,1.6231,7.8269,2.8261,"Normal"
48.909,4.7017,8.1413,6.5697,0.87488,0.87121,5.6617,1.7018,"Normal"
49.382,5.7136,8.8556,7.2022,1.2045,1.3542,5.0776,2.5013,"Normal"
43.975,4.7253,9.9606,7.6332,0.90446,1.69,4.6384,1.9902,"Normal"
52.074,4.5503,9.5622,7.1769,0.73693,1.2919,5.5781,2.1423,"Normal"
46.089,4.7937,12.676,8.1068,0.92627,1.2778,5.2581,1.7625,"Normal"
52.15,4.0907,7.8647,5.0353,0.64558,0.92836,3.8434,1.3894,"Normal"
50.749,5.1974,11.374,6.106,0.81058,1.2117,6.3676,1.8874,"Normal"
45.59,2.6992,7.3837,4.4199,0.87115,1.0133,3.6651,1.0531,"Normal"
47.557,5.2393,10.169,5.4587,1.2528,1.2015,4.7914,1.6282,"Normal"
48.76,5.2566,13.098,10.413,1.1335,1.2396,7.9508,1.9903,"Normal"
43.814,4.3855,9.3686,5.8778,0.95478,1.0312,5.3296,1.6504,"Normal"
51.071,5.6383,7.9023,6.2344,0.88179,1.1562,4.757,2.0215,"Normal"
45.152,4.8319,10.296,8.7593,0.9274,1.1853,5.6388,2.2175,"Normal"
47.394,3.6978,9.145,5.6887,0.76764,0.90707,3.5902,1.0039,"Normal"
47.811,6.6465,14.815,10.371,1.0694,1.4884,6.6735,2.3637,"Normal"
47.272,3.5283,7.4881,4.0823,0.80375,1.3142,5.2041,1.0404,"Normal"
46.085,4.8038,6.4057,5.1401,0.8194,0.96492,4.0359,1.4276,"Normal"
50.591,4.2201,12.997,9.2796,0.95102,1.0964,8.1091,2.1838,"Normal"
46.767,3.5717,8.8414,4.6493,1.0308,1.0533,3.488,1.4537,"Normal"
47.821,4.5937,10.346,7.7846,0.84919,0.95357,6.0358,1.7083,"Normal"
47.622,5.699,18.812,10.63,1.1127,1.3361,6.9182,2.1749,"Normal"
49.786,4.1606,9.2796,6.9798,0.88711,1.2317,5.2223,1.4569,"Normal"
50.523,4.9546,11.881,10.377,1.0086,1.5476,6.3883,2.4802,"Normal"
49.436,3.3475,7.5055,6.0554,0.49619,0.92554,3.4884,1.3055,"Normal"
49.035,4.8494,10.674,10.158,0.6832,1.5086,5.7793,1.849,"Normal"
48.699,4.2895,5.6942,4.8089,0.63217,1.0618,4.2045,1.5076,"Normal"
51.297,3.9063,10.77,7.8197,0.71869,1.1062,4.3433,1.3085,"Normal"
50.057,4.8592,14.292,10.355,0.92923,1.5756,7.8411,2.0888,"Normal"
47.392,3.9865,12.041,8.2529,1.043,1.2157,5.7076,1.9863,"Normal"
48.111,4.5815,8.3402,4.9227,0.71624,0.81315,3.909,1.3422,"Normal"
46.962,4.0416,12.156,7.5097,1.0922,1.3552,6.2526,1.6263,"Normal"
49.208,3.7503,8.9338,5.1127,0.69371,0.79631,4.423,1.0834,"Normal"
47.873,4.871,15.47,10.876,0.98295,1.4189,6.3844,2.4611,"Normal"
45.852,3.2036,9.1203,4.613,0.86388,0.88209,5.1875,1.5314,"Normal"
48.76,3.4035,5.6146,5.1696,0.65072,1.0742,3.9055,1.0919,"Normal"
46.329,4.6898,12.309,8.4168,0.72258,1.1257,5.5859,1.9102,"Normal"
48.129,3.7563,10.069,4.5675,0.9451,0.84138,4.7713,1.2931,"Normal"
47.753,4.2972,11.892,8.3973,0.7123,0.95914,4.7004,1.8025,"Normal"
44.858,3.9016,13.823,9.6523,1.1549,1.0564,4.6088,1.5648,"Normal"
47.567,4.0744,10.857,6.4401,1.0562,1.1658,4.9392,1.7714,"Normal"
48.472,5.4827,9.6046,8.1086,0.63528,1.2,6.1285,1.7972,"Normal"
46.594,3.2228,7.8491,6.7752,0.67599,1.3041,3.9364,1.2537,"Normal"
49.115,4.361,8.6375,5.8254,0.78777,0.97146,3.7851,1.1226,"Normal"
49.709,4.4925,7.6309,7.9351,0.86173,1.0302,4.2844,1.6238,"Normal"
48.886,5.4965,11.042,11.878,0.94475,1.4391,5.8605,2.0706,"Normal"
51.436,4.0059,13.411,9.1086,0.65692,1.3152,7.8424,1.8686,"Normal"
52.376,4.1033,8.7711,5.2723,0.9893,1.2651,4.4148,1.6847,"Normal"
47.033,5.601,11.304,8.2199,1.1589,1.5917,9.1261,2.8934,"Normal"
46.924,3.7957,8.5483,4.8761,0.69899,1.0507,5.2957,1.5267,"Normal"
48.791,5.6438,9.8714,6.8684,0.8473,1.1853,4.2224,1.7927,"Normal"
48.102,4.0207,11.655,9.1439,0.99607,1.2202,6.2803,1.9187,"Normal"
49.394,3.3668,6.8913,5.107,0.77753,0.90394,4.2858,1.3211,"Normal"
47.87,5.141,11.095,6.7912,1.1511,1.7163,6.552,2.2357,"Normal"
45.718,3.2371,7.2112,5.4561,0.79446,1.3107,5.1898,1.5194,"Normal"
45.016,3.6154,9.2208,7.6751,0.67705,1.0923,5.0744,1.7031,"Normal"
52.433,5.5768,17.487,13.729,1.1447,1.4136,8.8732,2.2413,"Normal"
45.577,3.7276,6.2851,6.4439,0.86294,0.84097,5.216,1.8886,"Normal"
48.629,4.7622,7.228,6.144,0.85223,1.0645,4.6247,1.3555,"Normal"
46.482,4.2074,11.284,9.5301,0.83232,1.3956,9.464,2.1771,"Normal"
50.297,3.7484,7.5395,5.6887,0.78722,0.92803,3.253,1.3117,"Normal"
49.335,5.2609,12.104,6.772,0.94731,1.6745,6.3387,1.9311,"Normal"
45.695,3.7806,7.2167,4.0594,0.69509,0.94786,4.6135,1.0738,"Normal"
50.704,4.4539,8.3107,4.537,0.70761,0.87993,3.5574,1.2568,"Normal"
50.562,4.5312,9.3199,8.0022,0.80573,1.0585,5.8301,1.5532,"Normal"
50.251,4.4765,7.75,5.4563,0.81126,1.0809,3.7481,1.8478,"Normal"
51.125,4.1483,12.546,9.2344,0.86386,1.3105,5.2797,1.6371,"Normal"
49.519,3.6681,6.4536,6.2214,0.83996,0.97426,4.0338,1.2155,"Normal"
50.278,4.9037,9.6677,9.8329,0.8314,1.0494,6.939,2.0015,"Normal"
46.808,3.8519,9.4301,6.154,1.0379,1.1048,5.3859,1.197,"Normal"
47.847,4.1754,7.8504,5.7835,0.8742,0.96599,4.0519,1.5865,"Normal"
48.23,5.2516,10.507,7.6121,0.86981,1.2967,5.2441,1.461,"Normal"
46.381,3.4284,8.851,4.9272,0.93145,0.9948,4.3071,1.3972,"Normal"
48.126,4.4593,9.922,6.8058,0.73222,1.1252,4.6897,2.2072,"Normal"
49.003,6.2612,16.542,10.795,1.1372,1.752,7.1573,2.5967,"Normal"
50.126,4.4134,8.7457,5.2192,0.68333,0.81278,5.1704,1.4981,"Normal"
50.888,4.2979,8.2942,7.0084,0.87831,1.0515,3.9211,1.8159,"Normal"
46.214,3.8772,10.641,8.1941,1.0308,1.1935,5.5855,1.7338,"Normal"
47.312,3.441,9.115,6.2634,0.8283,1.0042,4.994,1.3957,"Normal"
48.04,6.3487,15.041,11.311,0.94697,1.2112,7.0665,1.837,"Normal"
49.737,3.0724,6.853,4.1822,0.64678,0.93161,3.597,1.6381,"Normal"
45.786,4.7704,6.4045,4.5711,0.78981,1.0994,4.1312,1.5765,"Normal"
50.245,4.5011,12.728,9.5809,1.1686,1.6574,4.4802,1.7018,"Normal"
44.36,4.1147,9.5139,7.2301,0.66535,1.0244,5.0189,1.501,"Normal"
51.762,5.0272,15.061,9.3634,1.2184,2.0147,7.448,2.3491,"Normal"
47.214,3.4353,7.4808,5.7572,0.57405,0.80143,4.6004,1.3204,"Normal"
50.134,4.3825,9.1012,6.1721,0.81644,0.98224,5.1762,1.9602,"Normal"
47.116,4.0199,11.678,6.6644,0.94653,1.3719,8.0941,1.7997,"Normal"
53.025,3.4838,6.8686,4.6575,0.72582,1.0526,4.5637,1.2793,"Normal"
47.802,5.5022,9.9177,7.5524,0.62586,1.0732,6.4245,1.949,"Normal"
47.519,3.0134,7.2294,4.7095,0.63132,1.2307,4.5286,1.4102,"Normal"
47.575,3.5331,9.3365,7.1487,0.97901,1.0807,4.5426,1.4803,"Normal"
46.777,5.1054,20.098,13.935,0.98709,1.5621,9.3316,2.0969,"Normal"
46.933,4.329,7.9074,5.2739,0.95882,0.95397,4.1599,1.4817,"Normal"
47.982,3.8416,6.6576,4.9526,0.77544,1.088,5.3876,1.4537,"Normal"
47.879,4.0882,12.427,8.17,1.2358,1.6887,6.6002,1.8009,"Normal"
49.602,4.221,7.1122,4.6176,0.59883,0.8121,4.1319,1.3735,"Normal"
49.505,5.4911,13.421,8.7613,0.75009,1.1349,7.4047,2.966,"Normal"
47.661,3.7962,10.643,6.1104,0.83636,1.1843,5.5624,1.351,"Normal"
47.438,3.4341,7.0316,4.7139,0.77549,0.9276,3.5821,1.4891,"Normal"
50.944,4.5226,13.18,9.3047,0.89103,1.5309,5.1676,1.4786,"Normal"
46.078,4.1793,8.8988,6.1232,0.76992,0.95776,5.4881,1.8856,"Normal"
50.197,4.0177,11.506,6.5542,0.75832,0.93318,6.3907,1.8678,"Normal"
45.28,5.682,15.86,8.3394,0.89737,1.5714,10.1,2.3644,"Normal"
52.36,5.2897,14.598,11.342,1.3107,1.3312,6.1929,2.309,"Normal"
49.64,3.8583,11.915,7.4271,1.0252,1.6013,5.3298,1.5004,"Normal"
51.955,3.899,8.4365,5.8789,0.88295,0.81312,4.139,1.1783,"Normal"
55.163,5.5027,7.126,5.7008,0.82713,1.1996,4.6177,1.6389,"Normal"
47.124,4.0272,7.413,4.7986,0.79762,1.0773,3.9067,1.4196,"Normal"
